,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
18197,2008,Texas,47.0,17939,Bexar County,261.9989965995875,Policy
18198,2006,Texas,47.0,90235,Bexar County,52.086219316229844,Policy
18199,2004,Texas,47.0,268051,Bexar County,17.533976743231698,Policy
18200,2002,Texas,47.0,159297,Bexar County,29.504635994400395,Policy
18201,2000,Texas,47.0,8866,Bexar County,530.1150462440786,Policy
18202,2020,Texas,11.0,3518,Bexar County,312.677657760091,Policy
18203,2018,Texas,11.0,32587,Bexar County,33.755792187068465,Policy
18204,2016,Texas,11.0,340411,Bexar County,3.2313879398726835,Policy
18205,2014,Texas,11.0,1855866,Bexar County,0.5927152068091123,Policy
18206,2012,Texas,11.0,10655,Bexar County,103.23791647114031,Policy
18207,2008,Texas,11.0,17939,Bexar County,61.318914097775796,Policy
18208,2006,Texas,11.0,90235,Bexar County,12.190391754862304,Policy
18209,2004,Texas,11.0,268051,Bexar County,4.103696684586142,Policy
18210,2002,Texas,11.0,159297,Bexar County,6.905340339114986,Policy
18211,2000,Texas,11.0,8866,Bexar County,124.06947890818859,Policy
18212,2019,Texas,15.0,2003554,Brazoria County,0.7486696140957518,Policy
18213,2017,Texas,15.0,11626,Brazoria County,129.0211594701531,Policy
18214,2015,Texas,15.0,648,Brazoria County,2314.814814814815,Policy
18215,2013,Texas,15.0,17855,Brazoria County,84.01008120974517,Policy
18216,2011,Texas,15.0,92793,Brazoria County,16.16501244705958,Policy
18217,2009,Texas,15.0,309236,Brazoria County,4.850664217620199,Policy
18218,2007,Texas,15.0,179472,Brazoria County,8.357849692431131,Policy
18219,2005,Texas,15.0,8830,Brazoria County,169.87542468856174,Policy
18220,2003,Texas,15.0,1763,Brazoria County,850.8224617129893,Policy
18221,2001,Texas,15.0,7669,Brazoria County,195.59264571652105,Policy
18222,1999,Texas,15.0,37476,Brazoria County,40.025616394492474,Policy
18223,2019,Texas,18.0,2003554,Brazoria County,0.8984035369149022,Policy
18224,2017,Texas,18.0,11626,Brazoria County,154.82539136418373,Policy
18225,2015,Texas,18.0,648,Brazoria County,2777.777777777778,Policy
18226,2013,Texas,18.0,17855,Brazoria County,100.81209745169421,Policy
18227,2011,Texas,18.0,92793,Brazoria County,19.3980149364715,Policy
18228,2009,Texas,18.0,309236,Brazoria County,5.82079706114424,Policy
18229,2007,Texas,18.0,179472,Brazoria County,10.029419630917358,Policy
18230,2005,Texas,18.0,8830,Brazoria County,203.8505096262741,Policy
18231,2003,Texas,18.0,1763,Brazoria County,1020.986954055587,Policy
18232,2001,Texas,18.0,7669,Brazoria County,234.71117485982526,Policy
18233,1999,Texas,18.0,37476,Brazoria County,48.03073967339097,Policy
18234,2020,Texas,19.0,2026823,Brazoria County,0.9374276885549453,Policy
18235,2018,Texas,19.0,11702,Brazoria County,162.36540762262862,Policy
18236,2014,Texas,19.0,17780,Brazoria County,106.86164229471316,Policy
18237,2012,Texas,19.0,93148,Brazoria County,20.397646755700606,Policy
18238,2010,Texas,19.0,313166,Brazoria County,6.067069860712849,Policy
18239,2008,Texas,19.0,185098,Brazoria County,10.264832683227263,Policy
