,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
37946,2006,Iowa,5.0,33396,,14.97185291651695,Control
37947,2004,Iowa,5.0,39711,,12.590969756490646,Control
37948,2002,Iowa,5.0,14546,,34.37371098583803,Control
37949,2000,Iowa,5.0,10874,,45.98123965422108,Control
37950,2019,Iowa,5.0,226706,,2.2054996338870607,Control
37951,2017,Iowa,5.0,11184,,44.70672389127325,Control
37952,2015,Iowa,5.0,8682,,57.59041695461875,Control
37953,2013,Iowa,5.0,11712,,42.69125683060109,Control
37954,2011,Iowa,5.0,15779,,31.687686165156222,Control
37955,2009,Iowa,5.0,22364,,22.357360042926132,Control
37956,2007,Iowa,5.0,33279,,15.024489918567266,Control
37957,2005,Iowa,5.0,39646,,12.611612773041417,Control
37958,2003,Iowa,5.0,14621,,34.19738731960879,Control
37959,2001,Iowa,5.0,10736,,46.57228017883756,Control
37960,1999,Iowa,5.0,10056,,49.72155926809865,Control
37961,2020,Iowa,5.0,227854,,2.194387634186804,Control
37962,2018,Iowa,5.0,11169,,44.766765153550004,Control
37963,2016,Iowa,5.0,8647,,57.823522608997344,Control
37964,2014,Iowa,5.0,11683,,42.79722673970727,Control
37965,2012,Iowa,5.0,15654,,31.94071802734125,Control
37966,2010,Iowa,5.0,22381,,22.34037799919575,Control
37967,2008,Iowa,5.0,33515,,14.91869312248247,Control
37968,2006,Iowa,5.0,39601,,12.62594378929825,Control
37969,2004,Iowa,5.0,14715,,33.97893306150187,Control
37970,2002,Iowa,5.0,10822,,46.20218074293106,Control
37971,2000,Iowa,5.0,10020,,49.9001996007984,Control
37972,2019,Iowa,5.0,11035,,45.310376076121436,Control
37973,2017,Iowa,5.0,8534,,58.58917272088118,Control
37974,2015,Iowa,5.0,11745,,42.57130693912303,Control
37975,2013,Iowa,5.0,15448,,32.36664940445365,Control
37976,2011,Iowa,5.0,22530,,22.192632046160675,Control
37977,2009,Iowa,5.0,33468,,14.93964383889088,Control
37978,2007,Iowa,5.0,39875,,12.539184952978056,Control
37979,2005,Iowa,5.0,14905,,33.545790003354576,Control
37980,2003,Iowa,5.0,10830,,46.16805170821791,Control
37981,2001,Iowa,5.0,9860,,50.70993914807302,Control
37982,1999,Iowa,5.0,8061,,62.027043791092915,Control
37983,2020,Iowa,5.0,11011,,45.409136318227226,Control
37984,2018,Iowa,5.0,8645,,57.83689994216309,Control
37985,2016,Iowa,5.0,11754,,42.53871022630594,Control
37986,2014,Iowa,5.0,15609,,32.032801588826956,Control
37987,2012,Iowa,5.0,22443,,22.2786614980172,Control
37988,2010,Iowa,5.0,33309,,15.010957999339519,Control
37989,2008,Iowa,5.0,40151,,12.45298996289009,Control
37990,2006,Iowa,5.0,15214,,32.86446693834626,Control
37991,2004,Iowa,5.0,10898,,45.87997797761057,Control
